event_time,coef,se,pval
-5,-0.02285162984263436,0.03993686813591035,0.5673389920225453
-4,-0.006846491731139796,0.03340910898517823,0.8376757807763573
-3,-0.005751387265320571,0.031141304727287045,0.8535179074765535
-2,0.0012274498451984547,0.03545115893047301,0.9723877825067768
0,0.017826166513396986,0.03923635046237799,0.6497065963204052
1,0.019570085356508206,0.04219924940067998,0.6429401603180676
2,0.001820943978926784,0.04061330785417484,0.9642482423922873
3,0.015554290757739992,0.039991511929195526,0.6974161772939491
4,0.04161276353268224,0.03624527495874401,0.2512489308377317
5,0.04026190876003376,0.03342410315471939,0.2286953249232091
