entity,year,gdp_pc,repression,iv_repression,gross_fixed_capital_formation_perecent_of_gdp,trade_percentageof_gdp,inflation_consumer_prices_annual_perecentage_growth,population_growth_annual_percentage,expenditure_on_education,ln_gdp_pc
Albania,2005,2712.869838,2.138,0.907,38.45288852,69.11629266,2.366581957,-0.511790116,11.3716507,7.905762334360922
Albania,2006,2894.360326,2.138,0.907,38.37330646,72.20190895,2.370728319,-0.630911245,10.7679863,7.970519407388435
Albania,2007,3105.879676,2.138,0.907,36.44509205,79.91190089,2.932682482,-0.755718755,11.07501793,8.041052263743826
Albania,2008,3345.981618,2.138,0.907,35.06199285,75.24854728,3.320870904,-0.767342959,10.79070854,8.115515387807829
Albania,2010,3579.824132,2.138,0.907,30.17462318,75.53253297,3.627100915,-0.496461963,11.48573399,8.183068953048402
Albania,2011,3677.894579,2.138,0.907,31.69034618,80.69899853,3.428071301,-0.269017332,11.10684299,8.210095742165123
Albania,2012,3771.847819,2.138,0.907,28.62308041,76.96835832,2.031592684,-1.543136705,11.62699509,8.235320298029608
Albania,2013,3895.899756,3.209,0.964,27.80694496,75.75061856,1.937620802,-1.543144714,11.58003235,8.267679934451937
Albania,2014,4045.119349,3.209,0.964,26.5299242,75.02120231,1.625865044,-1.543137537,10.98846054,8.305266334372522
Albania,2015,4199.539129,3.209,0.964,26.08104053,71.27944766,1.896174026,-1.543120069,10.44102383,8.342730067060076
Albania,2016,4431.556358,3.209,0.964,25.6267467,74.01445045,1.275431684,-1.543134709,10.82978725,8.396506123687566
Albania,2017,4648.230787,3.209,0.955,26.25966857,76.78738179,1.986661332,-1.543151568,10.57019043,8.444241950268099
Albania,2018,4893.823755,3.209,0.955,25.91958386,75.69407837,2.028059631,-1.543099916,10.97069645,8.49572923088991
Albania,2019,5072.436484,3.209,0.955,24.6048342,75.38212893,1.41109079,-1.543137091,11.40017986,8.5315765499853
Albania,2020,4980.616995,3.209,0.941,25.19757554,59.52069944,1.620886617,-1.543155893,10.1343832,8.513309056922713
Albania,2021,5511.757434,3.209,0.941,27.21505618,75.59040409,2.041471631,-1.54312081,9.833778381,8.614638804831113
Algeria,2008,4367.56538,1.116,0.723,30.03976757,71.02849225,4.858590628,1.818853062,11.02075958,8.381961011558445
Algeria,2010,4456.610274,1.116,0.723,36.82474542,63.49121599,3.911061955,1.947058832,17.76915741,8.402143727795092
Algeria,2011,4501.354301,1.255,0.739,32.55504196,62.22008996,4.524211505,1.956894374,17.56471634,8.412133586258083
Algeria,2012,4518.43979,1.255,0.749,32.37227747,60.75763933,8.891450911,1.992807901,15.98372555,8.415922034034683
Algeria,2013,4543.23444,1.255,0.749,35.54827249,59.15100816,3.25423911,2.019531158,17.64603424,8.421394469094448
Algeria,2014,4634.101492,1.255,0.749,38.59920384,56.92354197,2.916926921,2.037865242,16.46920204,8.441197606349377
Algeria,2015,4685.059027,1.255,0.749,42.8089904,53.20462259,4.784447007,2.056247957,16.08455467,8.452133793739366
Algeria,2016,4768.731401,-0.201,0.581,43.38669353,49.76093279,6.397694803,2.055691112,16.11104393,8.469835594841674
Algeria,2017,4742.900755,0.359,0.658,41.5075398,49.82081617,5.59111591,2.032000608,17.55607224,8.464404201138315
Algeria,2018,4717.003589,0.359,0.658,41.0086253,52.43616768,4.269990205,1.937806233,15.61973667,8.45892904414893
Algeria,2019,4672.664087,0.824,0.717,39.87225001,46.50684261,1.951768211,1.840412914,16.02175903,8.449484656316105
Algeria,2020,4363.685338,0.856,0.624,39.08982169,40.38975656,2.415130941,1.711912165,16.54917145,8.381072240320343
Algeria,2021,4456.746876,0.433,0.571,35.11750351,46.83705926,7.226063074,1.619364602,16.05069733,8.402174378872505
Algeria,2022,4544.466881,0.054,0.437,30.38479045,51.19008937,9.265515516,1.587582107,13.10150623,8.421665701821851
Algeria,2023,4660.405457,0.244,0.46,32.72236868,43.73979845,9.322173759,1.498976012,13.26102352,8.446857731274635
Angola,2005,2843.396636,-0.361,0.395,28.98499667,95.34145929,22.95351385,3.646268934,7.992350101,7.952754615110232
Angola,2006,3065.055762,-0.361,0.395,22.88872551,84.62460412,13.30521018,3.684892016,7.454790115,8.027821041353269
Angola,2009,3494.807245,-0.096,0.429,43.00039714,102.2631833,13.73028393,3.801561875,11.46000004,8.159033501501796
Angola,2010,3540.791596,-0.096,0.429,28.91945189,90.99406314,14.46965649,3.851098249,8.68476963,8.172105595819048
Angola,2011,3528.168244,-0.096,0.429,27.4418409,89.03694434,13.48246792,3.887945997,8.960000038,8.168534104198253
Angola,2012,3682.352293,-0.096,0.429,27.78888117,81.93947855,10.27790492,3.883583555,8.370432854,8.211307037009593
Angola,2013,3716.297187,-0.009,0.427,27.1594385,77.34980137,8.777814293,3.84998069,8.826971054,8.22048307170899
Angola,2014,3746.8162,-0.009,0.427,28.43275736,69.58014245,7.280387304,3.732728067,7.1300001139999996,8.228661745015177
Angola,2015,3641.728939,-0.009,0.427,29.07212075,54.97938088,9.355972155,3.605071622,8.918776512,8.200213831103712
Angola,2016,3454.033172,-0.009,0.427,30.07617625,47.01556614,30.69441508,3.57644144,6.550973892,8.14729786259797
Angola,2017,3328.898212,0.397,0.493,29.1318691,45.66434235,29.8444799,3.540612215,6.763776779,8.110396660958571
Angola,2018,3196.79007,1.171,0.61,24.15925181,58.91648008,19.62893797,3.453233009,5.777524471,8.069902482218179
Angola,2019,3083.975344,1.171,0.629,24.59048603,60.71482433,17.08095414,3.387884222,6.045355797,8.033974739839328
Angola,2020,2864.16146,1.171,0.629,19.5519218,54.34422868,22.27153925,3.267958649,5.294735909,7.960030902189811
Angola,2021,2832.817771,1.114,0.623,15.95936565,61.52621367,25.75429488,3.1813226,6.919610023,7.94902717407652
Angola,2022,2860.902519,1.368,0.652,14.13703591,55.25477327,21.35529013,3.14302612,6.640471935,7.95889242011731
Angola,2023,2809.15728,1.368,0.652,12.29075497,53.03348363,13.64410178,3.080655307,7.73896265,7.940639816992815
Argentina,2018,13058.32854,1.698,0.835,15.2510495,30.76253595,34.27722371,0.82296948,12.52334023,9.477181411485208
Argentina,2019,12706.39781,1.364,0.806,14.19904614,32.63061505,53.54830435,0.710900853,12.51445961,9.44986091016684
