var,lag_min,lag_max,step,collapse,coef,se,pval,cmd,error
repression,2,3,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:3) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,2,3,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:3) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,2,4,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,2,4,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,2,5,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,2,5,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,2,6,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:6) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,2,6,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 2:6) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,3,4,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,3,4,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:4) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,3,5,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,3,5,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,3,6,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:6) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,3,6,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 3:6) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,4,5,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 4:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
repression,4,5,onestep,False,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 4:5) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep",module 'numpy' has no attribute 'in1d'
repression,4,6,onestep,True,,,,"ln_gdp_pc L1.ln_gdp_pc repression gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education | gmm(ln_gdp_pc repression, 4:6) iv(gross_fixed_capital_formation_perecent_of_gdp trade_percentageof_gdp inflation_consumer_prices_annual_perecentage_growth population_growth_annual_percentage expenditure_on_education) | onestep collapse",module 'numpy' has no attribute 'in1d'
